G,x,y,x2,x3,x4
F,,2393.313915872421,17075.115921545108,-8521.801072147646,-43177.354927484164
F,598.0,1000001814.6080577,-20959.442965149694,23558.726888634024,39994.45971537632
M,138.0,423.9385055021494,-1554.9300151059813,5724.977459805645,66341.76517859838
F,664.0,2011.6729692760925,-5135.89536751182,52338.09178231948,-16928.91057374397
M,375.0,1135.0726071590489,158.4754682569635,717.1224498758651,-13250.407033321806
M,133.0,409.13986236403133,-5352.937973893255,-26425.49207342251,-46984.70851373057
M,104.0,322.0542516042832,4367.493881972643,-12323.536487655478,15759.525665295814
F,316.0,968.421971231638,-5129.833154919032,41175.67037125496,-2330.7351928023622
M,198.0,604.1236659011192,2944.347676630343,-7591.699280810838,-42214.92122206723
M,150.0,460.01060286956965,16631.09362085627,-44842.303580250344,-27774.139443934215
F,397.0,,12339.105034420596,-12028.155131413725,-42661.26104031122
M,385.0,1165.0288714062613,-5792.866780755048,-40331.057079389386,-33130.92277218729
F,55.0,184.8646883914159,-13468.243069658236,43368.750544204704,71887.54262596622
M,144.0,441.9565279288812,-12726.172369349993,5376.911485982882,-48049.113749368735
F,927.0,2800.6311329394916,-14909.92623562311,40588.938153879004,-8404.21065396802
M,665.0,2005.437103128554,-7515.441648519121,6704.918726887232,9690.527276787465
F,688.0,2084.01760660296,1096.4833415675769,-15386.582118444248,57682.10209116706
F,555.0,1685.171018048105,5873.820399239288,-3980.837640566625,-5882.42568876069
M,516.0,1558.1040066766786,5617.29362065242,-15316.865690051549,-32592.242614203966
F,237.0,731.028614221002,7462.135860390541,5742.118338535977,-28152.929426447045
M,732.0,2206.1408942974585,,19036.415460889963,-31697.84319576044
F,174.0,542.1704503972776,-1573.9954166206871,599.5666879368699,87655.69815779342
F,612.0,1855.9249471088424,-5314.111036618059,1360.2116091457829,-12014.272125279456
M,574.0,1731.4961643801828,-10089.738411491835,18223.52239368373,23025.595852764956
F,352.0,1076.1621904112503,26738.414734189675,-24279.993182921626,-53415.82555427248
M,50.0,160.21586592587417,-7306.454845880368,-22824.98217291853,-7027.941415018782
F,572.0,1735.6992142654988,-13925.109870068847,34289.55523639762,-33233.82342375181
M,481.0,1453.2778900012727,11497.172791998955,1930.868622373828,28634.672614524214
M,267.0,810.849922139656,5520.459911844035,27378.94856069875,5622.472754774335
M,100.0,309.9522529513232,14806.56437026267,-27868.749392426493,-11794.478638359837
M,670.0,2019.8999205697564,-12205.71641234331,,37438.77225807859
F,797.0,2411.194558948776,15176.745541594137,-46468.34816024465,-116055.3535413761
M,262.0,796.4170168868704,-11273.358480519513,-40022.086424330206,30170.52975095292
F,215.0,664.9634344035029,-6121.856048958105,29988.315433568496,51551.26498017461
M,156.0,478.04463709002823,-3553.39581308364,-16243.745421284755,-8088.230611937969
F,329.0,1007.1395498381196,2511.9329154688708,-60717.56411312201,-37143.63108484457
M,28.0,94.11826433225824,5879.698363912406,33998.34655560586,-48017.20093032703
F,151.0,472.47402856090787,-6212.676555716789,-28305.23284318765,21622.19244585638
F,509.0,1547.0662692823587,-21566.547686488473,19353.37984721167,35051.22719115965
F,410.0,1249.7256884495362,14992.461123503059,2567.478765412036,16921.259139748778
F,172.0,536.1318364653933,-16114.521550002111,-37292.332043185,
F,681.0,2063.4196558137287,13469.124402453193,-35984.69859157601,-45635.49933704618
F,650.0,1969.949529366905,5684.448941928874,18712.95294869767,13511.250627761
F,12.0,55.71165571554275,10908.875536056168,5144.09025431262,-19511.99744570134
F,383.0,1168.9341132112982,-5566.272966304965,46628.0134729272,-67561.20918103968
F,726.0,2198.121561877956,11181.194447044069,-11492.212263338059,-53980.49640414773
F,44.0,151.78793381021504,4297.686506475462,-12704.145579555325,-86540.5900225513
F,802.0,2426.369836228783,-11118.921737500004,14687.405278741327,-24842.327093619097
M,781.0,2353.0747594562417,3778.85686786619,810.9380834082538,-8373.98534231959
M,35.0,114.60644223259638,2423.741623102455,1873.4716840267693,-15238.16467521128
M,209.0,637.2702869438115,3515.9279402207035,23633.664104730102,-55869.15643505902
F,998.0,3014.0201203616975,-9010.754617832781,-15129.631096599172,87709.63464634397
M,657.0,1980.9164151608657,7384.563397161967,-22875.33658628434,-30096.978402911805
F,785.0,2374.9822888460967,-2017.142592613487,-26979.39605073365,-65385.26287096959
F,816.0,2468.3833921605756,-2704.4456000560795,-33876.57507733339,67729.94906937052
M,528.0,1594.1975082809986,-323.75789435041213,13798.962068351271,49648.47584058407
M,785.0,2364.9661446041987,-4908.924591968907,-44581.31474156743,72303.85101956078
M,190.0,580.1233709787132,10757.41190403694,-42727.830861640476,-35902.689228041505
M,535.0,1615.4628339177825,4671.626211042662,-33719.022522631676,-3947.9118039156524
F,445.0,1355.3211620343866,-1088.8250500794352,-10081.862406861821,17915.431553046725
M,101.0,313.2367612425288,-2922.445135610331,63593.04739234,-41935.58076539118
M,462.0,1395.6168061136837,1148.1290712078803,-10812.626866910172,96182.60383557377
F,501.0,1523.411487928449,-8988.537436388804,-34299.90567485864,-21759.638997270475
F,439.0,1337.2038871458221,1255.4004459922535,-58877.65411054324,69470.68214654535
F,782.0,2365.9498114225885,8650.007871394962,10035.887949682605,50304.56723164599
M,914.0,2751.9826097486243,6579.1255167947975,36839.046944717156,-113551.81958512346
M,818.0,2463.6921701427987,5900.783102447349,2841.3656355232188,-43078.44933901533
F,844.0,2551.918175687166,-14125.661366042306,-17166.129315230293,-8371.209000198158
M,629.0,1896.6014868401653,-980.802712947949,10869.53154192665,75535.73466141296
M,612.0,1845.8422269196953,2651.5377377896702,26366.8703270522,77891.41240222589
F,284.0,871.8483608609413,4645.653781617556,4423.412966799359,8057.077657242447
M,328.0,993.7409364007344,1519.0144502186706,-14649.169547270216,36382.20678823985
F,582.0,1766.211902909618,-793.0238688038893,19817.72310615881,-27101.807313801597
M,836.0,2517.882338146635,8222.797688578448,5696.295801758306,-99499.51211255456
M,429.0,1296.9495736119154,4842.25194496203,15924.613151817313,18021.401615949395
M,995.0,2995.3339710625332,-4956.26146615208,-227.81905962975856,42584.03030157507
F,678.0,2053.8321523300874,-8382.88325353379,9485.016210009895,36594.71162269789
M,775.0,2335.1513088722863,1258.466474716361,706.9036100930136,-12911.473624310756
M,506.0,1528.110441051168,1167.126115948727,-22670.17409568041,-43425.41487009768
F,279.0,857.2556786624796,-7967.230899033887,3999.4981979932963,-23750.83779724702
M,250.0,759.8026848684885,5282.255771358817,4397.988742027845,81285.56413179784
F,926.0,2798.409591858279,8352.146371496845,-16301.146468823426,16199.982112114098
F,267.0,821.4088885870783,11687.533107327805,53094.827178314794,13910.2981456077
F,548.0,1664.0416256831631,-1394.1904843113155,-42200.05620104024,25135.363348487565
F,131.0,413.1580085804219,-12312.227522285031,9963.81377915679,93894.53670167414
F,907.0,2740.5662037908123,19123.268338620317,9682.59853875583,14109.454422542953
F,49.0,166.9624398254481,-3084.3138536869087,49460.00267276552,-98808.36948915917
F,806.0,2437.9647889106814,-3755.1657573722923,-19179.741503539004,41182.546102095956
M,543.0,1638.8144455621077,11411.34502624725,-39281.12369338587,17096.28960906317
F,103.0,329.25114577484186,9789.403290185275,3456.6564929093715,-42755.093905671216
M,163.0,499.0618092939062,4147.636939002967,-28498.539796638794,-69203.31137093467
M,347.0,1051.157902543916,-2944.1314083593516,-16786.392577433646,57703.31150718736
M,823.0,2478.963466584143,-12246.833002467125,-47806.42744980805,-37544.062172475176
F,616.0,1868.2512375348388,9888.335562324572,5229.56839737408,35362.23511088693
F,182.0,566.2304610940951,22070.932153897113,19078.402406048277,-13294.643599946814
F,770.0,2329.6959686574364,10035.171376664444,18527.60058198994,39988.162779776125
F,577.0,1750.9392825070208,-15628.101047129267,-23808.867098554223,-13689.574076237845
F,899.0,2716.877636108033,-6775.317628203979,-44857.82956460932,57047.86164964057
M,660.0,1989.722711555479,-4525.6155095114045,-35361.44228569794,-65808.771621288
M,565.0,1705.0774163736455,3352.653699496658,9918.967375397786,-66095.26226362876
M,119.0,2000000366.884106,12660.163638050335,39698.21415302513,42782.365955221765
M,609.0,1836.9097672652324,18619.439115670008,-12286.41084242819,32370.583236441747
M,919.0,2766.9072512325083,942.8680935608733,34636.76313054796,-33724.5459893372
F,865.0,2615.253877429449,10393.895815045917,-350.4180941820496,-22388.636818607563
M,639.0,1927.302246534747,784.749784887064,32635.757400046095,62224.408834438764
M,296.0,897.3458034631926,-2129.3478787614563,-65828.57044626228,-21920.4033861129
F,400.0,1220.2755692341054,20818.071864090285,19397.139940843434,-34554.18949564023
F,320.0,980.0439444615711,-201.03710674926265,-18804.62544542604,-11245.689813683835
F,246.0,758.041593045762,-12259.288252481601,-28293.611798875092,-20172.070807887772
M,40.0,129.8202816940254,-15380.786295356284,-13401.834804136139,-33420.74456024415
F,234.0,721.6132510168756,3337.937977260527,8129.337730241414,-83728.07571373247
M,200.0,609.609576899698,-1415.8268457482823,43510.41134597676,41508.337203664305
M,135.0,414.6889472404484,11027.60375334137,16407.752272007157,-7645.055080799165
M,688.0,2073.53047507994,-3446.2820879152446,12498.245117489229,-35949.958351930996
F,591.0,1793.1435561048186,4692.816158901531,30725.4598324038,38684.476557566675
M,873.0,2628.444637254069,-8410.702198458494,4355.435530733978,21968.816170496382
M,678.0,2044.3056179206371,-25830.17907907665,5445.933193595505,-19318.576732042984
F,860.0,2600.1243230091036,7055.431478145315,-22727.688422636467,122184.15538051381
M,424.0,1281.914686874258,75.90486846449635,18925.4671347638,21518.13811716677
F,834.0,2521.9387602370207,-8002.274180373378,-17899.084176900782,12732.732405249455
F,920.0,2779.855062010885,-26.491710277581365,-21769.6729974912,4165.898939503513
M,815.0,2455.611585700802,-241.85489484259767,18431.70032402372,-52987.19340975704
M,327.0,990.9184103623388,-1831.899080648069,-8537.618391975602,14694.873358265884
F,941.0,2843.0839866971573,-6262.188660277999,-65743.47861616788,62810.68724516913
